,Unnamed: 0,Message,filtered_msg,clusters
25,25,"Dear Customer,An amount of Rs.600 is overdue on your HDFC Bank Credit Card XX0854 Making payments on or before due date will avoid late fees on your credit card.Kindly ignore if you have already paid",DEAR CUSTOMER AN AMOUNT OF IS OVERDUE ON YOUR HDFC BANK CREDIT CARD MAKING PAYMENTS ON OR BEFORE DUE DATE WILL AVOID LATE FEES ON YOUR CREDIT IGNORE IF YOU HAVE ALREADY PAID,180
26,26,Stmt for HDFCBank CrCard ending 0854 is generated.Min Amt due Rs 830 .Total Due Rs 4400.4 .Pymt is due & to be done immediately,STMT FOR HDFCBANK CRCARD ENDING IS AMT DUE RS DUE RS IS DUE TO BE DONE IMMEDIATELY,277
27,27,Dear Customer.We regret to note that payments on your HDFC Bank Credit Card XX0854 remain unpaid despite reminders.We request you to take prompt action towards repayment of your overdue payments of Rs 830.,DEAR REGRET TO NOTE THAT PAYMENTS ON YOUR HDFC BANK CREDIT CARD REMAIN UNPAID DESPITE REQUEST YOU TO TAKE PROMPT ACTION TOWARDS REPAYMENT OF YOUR OVERDUE PAYMENTS OF RS,155
28,28,"Dear Customer, E-stmt for HDFCBank CreditCard ending 0854 will be sent to your email id. Min Due Rs 0 .Total Due Rs .63. Pymt Due on 02/DEC/2016. Kindly login to Netbanking for more information",DEAR CUSTOMER FOR HDFCBANK CREDITCARD ENDING WILL BE SENT TO YOUR EMAIL ID MIN DUE RS DUE RS PYMT DUE ON KINDLY LOGIN TO NETBANKING FOR MORE INFORMATION,182
29,29,"Dear Customer, E-stmt for HDFCBank CreditCard ending 0854 will be sent to your email id. Min Due Rs 0 .Total Due Rs .63. Pymt Due on 02/DEC/2016. Kindly login to Netbanking for more information",DEAR CUSTOMER FOR HDFCBANK CREDITCARD ENDING WILL BE SENT TO YOUR EMAIL ID MIN DUE RS DUE RS PYMT DUE ON KINDLY LOGIN TO NETBANKING FOR MORE INFORMATION,182
30,30,Balance in savings a/c 464895 as of 25-AUG-2016 EOD is INR 4825.75. Credits in a/c are subject to clearing. To know more use Axis Mobile: m.axisbank.com/bal,BALANCE IN SAVINGS AS OF EOD IS INR CREDITS IN ARE SUBJECT TO CLEARING TO KNOW MORE USE AXIS MOBILE,80
31,31,"Rs 10,000.00 has been transferred as per NEFT request from THINK ANALYTICS INDIA PRIVATE LIMITED for credit to your account  Axis Bank Ltd-XX4895 vide UTR No.KKBK162738436965. . Please check with your bank for credit of funds.",RS HAS BEEN TRANSFERRED AS PER NEFT REQUEST FROM THINK ANALYTICS INDIA PRIVATE LIMITED FOR CREDIT TO YOUR ACCOUNT AXIS BANK VIDE UTR PLEASE CHECK WITH YOUR BANK FOR CREDIT OF FUNDS,243
32,32,Balance in savings a/c 464895 as of 13-OCT-2016 EOD is INR 1557.55. Credits in a/c are subject to clearing. To know more use Axis Mobile: m.axisbank.com/bal,BALANCE IN SAVINGS AS OF EOD IS INR CREDITS IN ARE SUBJECT TO CLEARING TO KNOW MORE USE AXIS MOBILE,80
33,33,Balance in savings a/c 464895 as of 03-NOV-2016 EOD is INR 639.41. Credits in a/c are subject to clearing. To know more use Axis Mobile: m.axisbank.com/bal,BALANCE IN SAVINGS AS OF EOD IS INR CREDITS IN ARE SUBJECT TO CLEARING TO KNOW MORE USE AXIS MOBILE,80
34,34,Short of cash? Pay with your Axis Bank Debit Card XXXX8944 at petrol pumps and enjoy surcharge waiver. T&C apply http://bit.ly/2enDl0x,SHORT OF CASH PAY WITH YOUR AXIS BANK DEBIT CARD AT PETROL PUMPS AND ENJOY SURCHARGE WAIVER APPLY HTTP,187
35,35,"Cash withdrawal of Rs.2000 made on Kotak Debit card XX9296 on 05-11-2016 11:31:08 at KATHA BAZAR,MUMBAI.Combined balance in A/c XX0827 is Rs 25998.",CASH WITHDRAWAL OF MADE ON KOTAK DEBIT CARD ON AT KATHA BAZAR BALANCE IN IS RS,94
36,36,Txn of Rs.1 made on Kotak Debit card XX9296 on 11-11-2016 14:29:36 at 794833180257470.Combined balance in A/c XX0827 is Rs 20805.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
37,37,Txn of Rs.1 made on Kotak Debit card XX9296 on 11-11-2016 14:30:22 at 794833180257470.Combined balance in A/c XX0827 is Rs 20804.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
38,38,Txn of Rs.1000 made on Kotak Debit card XX9296 on 11-11-2016 14:30:55 at 470000000218923.Combined balance in A/c XX0827 is Rs 19804.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
39,39,"916022 is the One Time Password (OTP) for your Kotak Debit Card xx9296  valid till 11/11/2016 14:49:12 IST. Do not share your OTP with anyone, bank never calls to verify OTP",IS THE ONE TIME PASSWORD OTP FOR YOUR KOTAK DEBIT CARD VALID TILL IST DO NOT SHARE YOUR OTP WITH ANYONE BANK NEVER CALLS TO VERIFY OTP,55
40,40,Txn of Rs.160 made on Kotak Debit card XX9296 on 11-11-2016 16:54:41 at 037022016960137.Combined balance in A/c XX0827 is Rs 19144.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
41,41,Txn of Rs.1000 made on Kotak Debit card XX9296 on 12-11-2016 10:54:27 at FREECHARGE73422.Combined balance in A/c XX0827 is Rs 18144.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
42,42,Txn of Rs.96 made on Kotak Debit card XX9296 on 14-11-2016 13:35:07 at FAASOS36147.Combined balance in A/c XX0827 is Rs 16048.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
43,43,Txn of Rs.600 made on Kotak Debit card XX9296 on 18-11-2016 20:04:01 at AIRTELMONEY.Combined balance in A/c XX0827 is Rs 12448.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
44,44,"648405 is the One Time Password (OTP) for your Kotak Debit Card xx9296  valid till 19/11/2016 12:16:30 IST. Do not share your OTP with anyone, bank never calls to verify OTP",IS THE ONE TIME PASSWORD OTP FOR YOUR KOTAK DEBIT CARD VALID TILL IST DO NOT SHARE YOUR OTP WITH ANYONE BANK NEVER CALLS TO VERIFY OTP,55
45,45,Txn of Rs.1605 made on Kotak Debit card XX9296 on 19-11-2016 12:03:30 at GOIBIBO60179.Combined balance in A/c XX0827 is Rs 9343.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
46,46,Txn of Rs.161 made on Kotak Debit card XX9296 on 23-11-2016 13:29:55 at 000000002949543.Combined balance in A/c XX0827 is Rs 7482.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
47,47,Txn of Rs.96 made on Kotak Debit card XX9296 on 24-11-2016 21:20:47 at FAASOS36147.Combined balance in A/c XX0827 is Rs 9086.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
48,48,Txn of Rs.1000 made on Kotak Debit card XX9296 on 27-11-2016 13:20:37 at PAYTM97998.Combined balance in A/c XX0827 is Rs 6386.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
49,49,Txn of Rs.1000 made on Kotak Debit card XX9296 on 27-11-2016 13:21:13 at 470000000218923.Combined balance in A/c XX0827 is Rs 5386.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
50,50,Txn of Rs.500 made on Kotak Debit card XX9296 on 27-11-2016 13:24:08 at FREECHARGE73422.Combined balance in A/c XX0827 is Rs 4886.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
51,51,Txn of Rs.2490 made on Kotak Debit card XX9296 on 27-11-2016 15:22:06 at YES BOSS.Combined balance in A/c XX0827 is Rs 2296.95,TXN OF MADE ON KOTAK DEBIT CARD ON AT YES BALANCE IN IS RS,8
52,52,Your transaction at SHREE SAI KRUPA using Kotak Debit Card XX9296 on 27-11-2016 16:41:39 could not be processed due to Insufficient account balance..The txn cannot be completed with available balance.SMS BAL xxxx (last 4 digits of account number) to 9971056767 to know your accout balance.Call our customer care at 18602662666 for further assistance,YOUR TRANSACTION AT SHREE SAI KRUPA USING KOTAK DEBIT CARD ON COULD NOT BE PROCESSED DUE TO INSUFFICIENT ACCOUNT TXN CAN NOT BE COMPLETED WITH AVAILABLE BAL XXXX LAST DIGITS OF ACCOUNT NUMBER TO TO KNOW YOUR ACCOUT OUR CUSTOMER CARE AT FOR FURTHER ASSISTANCE,98
53,53,Txn of Rs.1056 made on Kotak Debit card XX9296 on 02-12-2016 10:28:25 at 000656239753801.Combined balance in A/c XX0827 is Rs 40348.86,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
54,54,"058577 is the One Time Password (OTP) for your Kotak Debit Card xx9296  valid till 12/12/2016 21:08:12 IST. Do not share your OTP with anyone, bank never calls to verify OTP",IS THE ONE TIME PASSWORD OTP FOR YOUR KOTAK DEBIT CARD VALID TILL IST DO NOT SHARE YOUR OTP WITH ANYONE BANK NEVER CALLS TO VERIFY OTP,55
55,55,356694 is your Dynamic Access Code for CRN XXXX186.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
56,56,708829 is your Dynamic Access Code for CRN XXXX186.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
57,57,115243 is your Dynamic Access Code for CRN XXXX186.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
58,58,618949 is your Dynamic Access Code for CRN XXXX186.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
59,59,622381 is your Dynamic Access Code for CRN XXXX186.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
60,60,"Reminder: Payment for card************0348 is due on 05-DEC-16. Total=Rs.647.82,Minimum=Rs.100.00.Pay early to avoid charges.Please ignore if paid.",REMINDER PAYMENT FOR IS DUE ON EARLY TO AVOID IGNORE IF PAID,86
61,61,Payment of Rs 647.82 received for card number ************0348 on 05/12/16 as per your Standing Instruction. Thank you!,PAYMENT OF RS RECEIVED FOR CARD NUMBER ON AS PER YOUR STANDING INSTRUCTION THANK YOU,86
62,62,"A charge of INR 6,005.00 has been initiated on your American Express Card No. ***01006 at ROYAL CHINA on 13/11/2016 at 10:34PM IST.",CHARGE OF INR HAS BEEN INITIATED ON YOUR AMERICAN EXPRESS CARD NO AT ROYAL CHINA ON AT IST,114
63,63,"206176 is your One Time Password for online purchase, Amex card ending 01006, if not requested call the number on back of card. 17/Nov/2016, 23:26 IST.",IS YOUR ONE TIME PASSWORD FOR ONLINE PURCHASE AMEX CARD ENDING IF NOT REQUESTED CALL THE NUMBER ON BACK OF CARD IST,59
64,64,A charge of INR 398.05 has been initiated on your American Express Card No. ***01006 at AMAZON SELLER SERVICES PRIVATE LTD-PG on 20/11/2016 at 09:34PM IST.,CHARGE OF INR HAS BEEN INITIATED ON YOUR AMERICAN EXPRESS CARD NO AT AMAZON SELLER SERVICES PRIVATE ON AT IST,426
65,65,"Dear Customer, the payment of Rs.28,596.34 for AMEX Card **********01006 is due by 26/11/2016. Please ignore if already paid.",DEAR CUSTOMER THE PAYMENT OF FOR AMEX CARD IS DUE BY PLEASE IGNORE IF ALREADY PAID,349
66,66,"091549 is your One Time Password for online purchase, Amex card ending 01006, if not requested call the number on back of card. 24/Nov/2016, 11:01 IST.",IS YOUR ONE TIME PASSWORD FOR ONLINE PURCHASE AMEX CARD ENDING IF NOT REQUESTED CALL THE NUMBER ON BACK OF CARD IST,59
67,67,"Dear customer, you have set your MPIN for CRN XXX9730 from NetBanking. Download the Kotak Mobile Banking app from app.kotak.com and enjoy superfast banking.",DEAR CUSTOMER YOU HAVE SET YOUR MPIN FOR CRN FROM NETBANKING DOWNLOAD THE KOTAK MOBILE BANKING APP FROM AND ENJOY SUPERFAST BANKING,333
68,68,087321 is your Dynamic Access Code for CRN XXX9730.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
69,69,777588 is your Activation code for Kotak Mobile Banking app for CRN xx9730.,IS YOUR ACTIVATION CODE FOR KOTAK MOBILE BANKING APP FOR CRN,196
70,70,"Dear Customer,Thanks for registering on Axis Net Banking. Your Provogue Promo code is AXISNR16 , the URL for redemption is www.provogue.com/axisbanklogin. T&C",DEAR CUSTOMER THANKS FOR REGISTERING ON AXIS NET BANKING YOUR PROVOGUE PROMO CODE IS THE URL FOR REDEMPTION IS,269
71,71,"Dear Customer, we are pleased to inform that your PIN mailer has been dispatched vide AWB MH0000013933339 thru Vichare courier on 17-Oct-2016",DEAR CUSTOMER WE ARE PLEASED TO INFORM THAT YOUR PIN MAILER HAS BEEN DISPATCHED VIDE AWB THRU VICHARE COURIER ON,390
72,72,"Dear Customer, beneficiary id Apoorva for your CRN 199869730 has been activated successfully on 19 Oct 2016 14:58",DEAR CUSTOMER BENEFICIARY ID APOORVA FOR YOUR CRN HAS BEEN ACTIVATED SUCCESSFULLY ON OCT,153
73,73,"ThankYou for calling PhoneBanking on 22Oct16.Access your account anytime with NetBanking/MobileBanking.MobileBanking App: bit.ly/2ajTksK,For Demo:bit.ly/1yg0gj3",THANKYOU FOR CALLING PHONEBANKING ON YOUR ACCOUNT ANYTIME WITH APP FOR DEMO,86
74,74,"To deposit Rs. 500/1000 notes starting Nov 10, 2016, please carry valid ID proof (Aadhaar card,Voter ID,Ration card,PAN,Passport,NREGA card,Driving license).For deposits through bearer, pls send authorization letter with your self-attested ID proof & bearer ID proof. Letter to mention denominations being deposited.",TO DEPOSIT RS NOTES STARTING NOV PLEASE CARRY VALID ID PROOF AADHAAR CARD VOTER ID RATION CARD PAN PASSPORT NREGA CARD DRIVING LICENSE DEPOSITS THROUGH BEARER PLS SEND AUTHORIZATION LETTER WITH YOUR ID PROOF BEARER ID PROOF LETTER TO MENTION DENOMINATIONS BEING DEPOSITED,42
75,75,"Dear customer, all our branches are open this Saturday (Nov 12) and Sunday (Nov 13) to assist you in exchange, withdrawal or deposit of your cash. Payment Systems (RTGS, NEFT, Cheque Clearing, Repo, CBLO and Call markets) shall also remain open on Saturday (Nov 12) and Sunday (Nov 13). Our branch timings too have been extended by 2 hours for Nov 10 and Nov 11, 2016 for your convenience.",DEAR CUSTOMER ALL OUR BRANCHES ARE OPEN THIS SATURDAY NOV AND SUNDAY NOV TO ASSIST YOU IN EXCHANGE WITHDRAWAL OR DEPOSIT OF YOUR CASH PAYMENT SYSTEMS RTGS NEFT CHEQUE CLEARING REPO CBLO AND CALL MARKETS SHALL ALSO REMAIN OPEN ON SATURDAY NOV AND SUNDAY NOV OUR BRANCH TIMINGS TOO HAVE BEEN EXTENDED BY HOURS FOR NOV AND NOV FOR YOUR CONVENIENCE,66
76,76,"We understand your concern. Do remember that you have till 30th December to deposit/exchange your cash. For your convenience, all our branches are open this Saturday and Sunday till 6 pm. Our staff is ready to help you.",WE UNDERSTAND YOUR CONCERN DO REMEMBER THAT YOU HAVE TILL DECEMBER TO YOUR CASH FOR YOUR CONVENIENCE ALL OUR BRANCHES ARE OPEN THIS SATURDAY AND SUNDAY TILL PM OUR STAFF IS READY TO HELP YOU,363
77,77,"Charges on cash deposits made in your Kotak Savings account are waived w.e.f. Nov 10 to Nov 30, 2016. What's more you can earn up to 6% interest p.a. TnC apply.",CHARGES ON CASH DEPOSITS MADE IN YOUR KOTAK SAVINGS ACCOUNT ARE WAIVED NOV TO NOV WHAT MORE YOU CAN EARN UP TO INTEREST TNC APPLY,181
78,78,"Dear Privy League Member, if you have any query regarding demonetisation of notes, please call your Relationship Manager or Service Manager and we will be glad to assist.",DEAR PRIVY LEAGUE MEMBER IF YOU HAVE ANY QUERY REGARDING DEMONETISATION OF NOTES PLEASE CALL YOUR RELATIONSHIP MANAGER OR SERVICE MANAGER AND WE WILL BE GLAD TO ASSIST,133
79,79,"Dear Customer, Rs 28,600.00 has been credited to your American Express Card **********01006 on 28/11/2016. Payment subject to realisation. Thank you.",DEAR CUSTOMER RS HAS BEEN CREDITED TO YOUR AMERICAN EXPRESS CARD ON PAYMENT SUBJECT TO REALISATION THANK YOU,412
80,80,513934 is the OTP for trxn of INR 57.52 at Book My Show with your SBI Card ending 1813. OTP is valid for 10 mins only. Pls do not share with anyone.,IS THE OTP FOR TRXN OF INR AT BOOK MY SHOW WITH YOUR SBI CARD ENDING OTP IS VALID FOR MINS ONLY PLS DO NOT SHARE WITH ANYONE,198
81,81,OTP for your SBI Card no. XX1813 to Change PIN online is 828244. This OTP is valid for one trxn. or 30 mins only. Do not share it with anyone.,OTP FOR YOUR SBI CARD NO TO CHANGE PIN ONLINE IS THIS OTP IS VALID FOR ONE TRXN OR MINS ONLY DO NOT SHARE IT WITH ANYONE,403
82,82,"Incorrect PIN entered. Trxn of Rs.140.00 done at WELLNESS FOREVER MEDIC on your SBI Card ending XX1813 could not be authorized. Retry with correct PIN. To generate PIN instantly, click http://bit.ly/getPINnow or call 18601801290.",INCORRECT PIN ENTERED TRXN OF DONE AT WELLNESS FOREVER MEDIC ON YOUR SBI CARD ENDING COULD NOT BE AUTHORIZED RETRY WITH CORRECT PIN TO GENERATE PIN INSTANTLY CLICK HTTP OR CALL,106
83,83,Transaction of Rs.140.00 made on SBI Credit Card XX1813 at WELLNESS FOREVER MEDIC on 29 Nov 16 .,TRANSACTION OF MADE ON SBI CREDIT CARD AT WELLNESS FOREVER MEDIC ON NOV,121
84,84,Short of cash? Pay with your Axis Bank Debit Card XXXX2306 at petrol pumps and enjoy surcharge waiver. T&C apply http://bit.ly/2enDl0x,SHORT OF CASH PAY WITH YOUR AXIS BANK DEBIT CARD AT PETROL PUMPS AND ENJOY SURCHARGE WAIVER APPLY HTTP,187
85,85,Rs. 10000 was withdrawn from account no. XX4113 on 14-NOV-16 at Citibank MUMBAI branch. Account balance is now Rs. 111551.2,RS WAS WITHDRAWN FROM ACCOUNT NO ON AT CITIBANK MUMBAI BRANCH ACCOUNT BALANCE IS NOW RS,445
86,86,Cheque No.261332 for Rs. 2874 favoring PEST CONTROL LTD is debited from your A/c No. XXXXXX4113 on 29-NOV-16.A/c balance is Rs.67767.2,CHEQUE FOR RS FAVORING PEST CONTROL LTD IS DEBITED FROM YOUR NO ON BALANCE IS,233
87,87,Cheque No.261332 for Rs. 2874 favoring PEST CONTROL LTD is debited from your A/c No. XXXXXX4113 on 29-NOV-16.A/c balance is Rs.67767.2,CHEQUE FOR RS FAVORING PEST CONTROL LTD IS DEBITED FROM YOUR NO ON BALANCE IS,233
88,88,Your a/c no.XXXXXX4113 is credited by Rs.150000.00 on 01-12-16 by a/c linked to mobile XXXXXXX565 (IMPS Ref no 633612000327).,YOUR IS CREDITED BY ON BY LINKED TO MOBILE IMPS REF NO,39
89,89,Your request on 05/12/16 to pay Rs 10000 from A/C X4113 to SUJIT KUMAR GHOSHAL was accepted. Ref No CITIN16717280839. The a/c balance is now Rs 122175.38,YOUR REQUEST ON TO PAY RS FROM TO SUJIT KUMAR GHOSHAL WAS ACCEPTED REF NO THE BALANCE IS NOW RS,231
90,90,The NEFT Transaction from your a/c no XXXXXX4113 with reference number CITIN16717281080 for Rs 18144.00 has been credited on 05-12-2016 at 08:54:58.,THE NEFT TRANSACTION FROM YOUR NO WITH REFERENCE NUMBER FOR RS HAS BEEN CREDITED ON AT,377
91,91,Your a/c no. XXXXXXXX4309 is debited for Rs.150000.00 on 01-12-16 and a/c  XXXXXXX4113  credited (IMPS Ref no 633612000327).,YOUR NO IS DEBITED FOR ON AND CREDITED IMPS REF NO,3
92,92,Your a/c no. XXXXXXXX5007 is debited for Rs.11000.00 on 18-11-16 and a/c  XXXXXXX0327  credited (IMPS Ref no 632312858010).,YOUR NO IS DEBITED FOR ON AND CREDITED IMPS REF NO,3
93,93,Payment received  NEFT - Your account XX5007 has been credited for Rs 500000 from THINK ANALYTICS INDIA PRIVATE LIMI vide UTR ref AXIC163363364340.,PAYMENT RECEIVED NEFT YOUR ACCOUNT HAS BEEN CREDITED FOR RS FROM THINK ANALYTICS INDIA PRIVATE LIMI VIDE UTR REF,416
94,94,Rs.18144 is Credited to A/c ...6686 on 05-12-16 08:54:58 (Clear Bal Rs.18470.89) By NEFT Ref:CITIN16717281080. TollFree 1800223344 18001024455 (6am-10pm),IS CREDITED TO ON CLEAR BAL BY NEFT REF TOLLFREE,86
95,95,Transaction of Rs.184.00 made on SBI Credit Card XX8419 at RVK HOSPITALITY PVT. LTD. on 15 Nov 16 .,TRANSACTION OF MADE ON SBI CREDIT CARD AT RVK HOSPITALITY PVT ON NOV,261
